product_id_numeric,handle,title,product_type,status,article_status
7113239429301,62112955033,Lowering kit,Suspension component,DRAFT,80
7113239560373,91410055s,Factory fork spring set,Suspension component,DRAFT,80
7113240608949,78003923050,Stand plate,Bike stand / Lift,DRAFT,80
7113240838325,79703940044,Pivot Pegz,Footpegs,DRAFT,80
7113241166005,69011046144,Side stand removal kit,Footpegs,DRAFT,80
7113241297077,54803095000,Foam rubber,Footpegs,DRAFT,80
7113241362613,61011046044,Side stand removal kit,Bike stand / Lift,DRAFT,80
7113241395381,7600393704433,Footpeg kit,Footpegs,DRAFT,80
7113241526453,69034931066,Gear spacer kit,Footpegs,DRAFT,80
7113241591989,78003940244,Pivot Pegz,Footpegs,DRAFT,80
7113241723061,90803937144,Factory footpeg system,Footpegs,DRAFT,80
7113243230389,60712929100,"Touring top case  1050-1290 (ADVENTURE, SUPER) 13-20",Luggage Cases,DRAFT,80
7113243754677,72012927044,Rear rack,Luggage Carrier,DRAFT,80
7113243820213,58412019000,Tank bag,Tank Bag,DRAFT,80
7113243885749,58612027050,Top case carrier,Luggage Carrier,DRAFT,80
7113243984053,60012024000,Case,Luggage Cases,DRAFT,80
7113244147893,60012025100,Case set,Luggage Cases,DRAFT,80
7113244180661,6001202510030,Case set,Luggage Cases,DRAFT,80
7113244213429,60012027252,Backrest,Luggage Accessoires,DRAFT,80
7113244246197,60012027352,Backrest,Luggage Accessoires,DRAFT,80
7113244278965,6001202740030,Top case,Luggage Cases,DRAFT,80
7113244377269,60012027600,Top case,Luggage Cases,DRAFT,80
7113244508341,60112020200,Quicklock case carrier,Luggage Carrier,DRAFT,80
7113244606645,60112024200,Case,Luggage Cases,DRAFT,80
7113244639413,60112025200,Case,Luggage Cases,DRAFT,80
7113244672181,60112027000,Top case,Luggage Cases,DRAFT,80
7113244704949,60112027070,Inner bag,Inner Bag,DRAFT,80
7113244803253,60112915044,Helmet lock,Luggage Accessoires,DRAFT,80
7113244836021,60112924100,Touratech case,Luggage Cases,DRAFT,80
7113244868789,60112927144,Top case carrier,Luggage Carrier,DRAFT,80
7113244901557,60112929050,Top case carrier,Luggage Carrier,DRAFT,80
7113245327541,60312932100,Touring case set,Luggage Cases,DRAFT,80
7113245425845,60612912044,Trekker case carrier,Luggage Carrier,DRAFT,80
7113245458613,60612922044,Trekker case set,Luggage Cases,DRAFT,80
7113245622453,60712932000,Touring case set,Side Bag,DRAFT,80
7113245655221,60712932044,Touring case set,Luggage Cases,DRAFT,80
7113245687989,60712933000,Grip handle kit for Touring cases,Luggage Accessoires,DRAFT,80
7113245917365,61412925000kc,Case set,Luggage Cases,DRAFT,80
7113246343349,62012925000,Side bag set,Side Bag,DRAFT,80
7113246408885,6201292700028,Top case,Luggage Cases,DRAFT,80
7113246638261,62512019200,Tank bag,Tank Bag,DRAFT,80
7113246671029,62512020000,Side bag carrier,Luggage Carrier,DRAFT,80
7113247064245,69012019000,Tank bag,Tank Bag,DRAFT,80
7113247195317,76012912144,Side bag carrier,Side Bag,DRAFT,80
7113247391925,76512927000,Luggage carrier,Partstream,DRAFT,80
7113247457461,90212912044,Side bag carrier,Luggage Carrier,DRAFT,80
7113247588533,79139940000,Stator cable protection  250-350 EXC  20-23,Carbon Protection,DRAFT,80
7113247654069,sxs11350030,Clutch cover protection  250-350 EXC/SX  11-16,Carbon Protection,DRAFT,80
7113247948981,sxs07250030,Clutch cover protection,Carbon Protection,DRAFT,80
7113247981749,sxs13450030,Clutch cover protection,Carbon Protection,DRAFT,80
7113248932021,61530960000,Front sprocket cover,Carbon,DRAFT,80
7113248964789,61508910000,Fender  1290 R2R  1290 SUPER DUKE 19-24,Carbon,DRAFT,80
7113249063093,6130495014449,Splash protection and chain guard  1290 SUPER DUKE 14-24,Carbon Protection,DRAFT,80
7113249128629,6900396605049,"Heel protector  1190 RC (8, RC, RC8, RC8R) 08-16",Carbon,DRAFT,80
7113249226933,7600399300049,Frame protector,Carbon,DRAFT,80
7113249259701,7600399200049,Frame protector,Carbon,DRAFT,80
7113249358005,7560405000049,Splash protection,Carbon,DRAFT,80
7113250111669,60030086000,Clutch cover protection,Carbon Protection,DRAFT,80
7113250144437,60030085000,Ignition cover protection,Carbon Protection,DRAFT,80
7113250242741,5860800100049,Headlight shroud,Carbon,DRAFT,80
7113250373813,6130795800049,Ignition lock cover,Carbon,DRAFT,80
7113250472117,6250805000049,Spoiler,Carbon,DRAFT,80
7113250668725,6900805600049,Heat protection,Carbon,DRAFT,80
7113250734261,7500496000049,Chain guard,Carbon,DRAFT,80
7113250832565,7503096010049,Front sprocket cover,Carbon,DRAFT,80
7113250930869,7600891502049,Rear cover,Carbon,DRAFT,80
7113250963637,7600896000049,Radiator protection,Carbon,DRAFT,80
7113250996405,7600896100049,Radiator protection,Carbon,DRAFT,80
7113251061941,61407958044,Ignition lock cover,Carbon,DRAFT,80
7113251422389,69010965120,Chain,Chains,DRAFT,80
7113251651765,4541005104x04,"Rear sprocket 45,46 & 47T",Sprockets,DRAFT,80
7113251848373,830101510xx,Rear sprocket,Sprockets,DRAFT,
7113251881141,6903392901x,Sprocket,Sprockets,DRAFT,; 80
7113251979445,611100510xx04,Supersprox stealth rear sprocket,Sprockets,DRAFT,; 80
7113252241589,777109510xx04,Rear sprocket,Sprockets,DRAFT,80
7113252405429,63710967088,Scottoiler kit,Tool/transport,DRAFT,80
7113252438197,63710967044,Scottoiler kit,Tool/transport,DRAFT,80
7113252470965,61910967088,Scottoiler kit,Tool/transport,DRAFT,80
7113252503733,61910967044,Scottoiler kit,Tool/transport,DRAFT,80
7113252634805,93004961044,Chain guard,Trim parts,DRAFT,80
7113252700341,5150406600004,"Chain sliding protection  125-500 (EXC, SX)  11-23",Chain Protection,DRAFT,80
7113252798645,7730406600004,"Chain sliding protection 125-530 (EXC, SX, SXS)  07-11",Chain Protection,DRAFT,80
7113252995253,sxs12065030,Chainguide,Chain Protection,DRAFT,80
7113253060789,79535910044,Factory Racing radiator kit,Radiator,DRAFT,80
7113253093557,79135910044,Factory Racing radiator kit 250-350 SX 19-22,Radiator,DRAFT,80
7113253355701,55635941044,Radiator fan,Radiator fan,DRAFT,80
7113253421237,77335924044,Radiator hose,Hoses,DRAFT,80
7113253486773,77135924044,Radiator Hoses,Hoses,DRAFT,80
7113253716149,5043592404404,Radiator hose,Hoses,DRAFT,80
7113253748917,77235924144,Radiator hose,Hoses,DRAFT,80
7113254305973,77735936244,Radiator protection,Radiator Protection,DRAFT,80
7113254371509,77035036000,Radiator protection,Radiator Protection,DRAFT,80
7113254437045,60035040100,Radiator protection grille,Radiator Protection,DRAFT,80
7113254731957,5463503420004,Radiator protection,Radiator Protection,DRAFT,80
7113254764725,5463513420004,Radiator protection,Radiator Protection,DRAFT,80
7113254895797,7903513400028,Radiator protection grille,Radiator Protection,DRAFT,80
