product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
8774973292874;ACTIVE;hsq-3hs1928100-07;262070-222;single_variant_exact_sku;1;262070-222
9587329466698;DRAFT;0-ring-18-72x2-62;0770021160;single_variant_exact_sku;1;0770021160
9993367093578;ACTIVE;0-ring-55-00x2-00-nbr70;0770055020;single_variant_exact_sku;1;0770055020
8774940524874;ACTIVE;hsq-3hs24001740x;3hs24001740x;multi_variant_suffix_x;5;3HS240017402,3HS240017403,3HS240017404,3HS240017405,3HS240017406
8774938722634;ACTIVE;hsq-3hs24001610x;3hs24001610x;multi_variant_suffix_x;5;3HS240016102,3HS240016103,3HS240016104,3HS240016105,3HS240016106
8671835816266;ACTIVE;2tall-ktm-125-250-sx-stage-ii-space-kit-2-stroke-2017-2018;2tall10;single_variant_exact_sku;1;2TALL10
8671835423050;ACTIVE;2tall-ktm-250-450-sx-f-stage-i-space-kit-4-stroke-2011-2015;2tall30;single_variant_exact_sku;1;2TALL30
8671834865994;ACTIVE;kopie-van-2tall-ktm-250-450-sx-f-stage-ii-space-kit-4-stroke-2016-2018;2tall3;single_variant_exact_sku;1;2TALL3
8671834374474;DRAFT;2tall-ktm-250-450-sx-f-stage-ii-space-kit-4-stroke-2016-2018;2tall8;single_variant_exact_sku;1;2TALL8
8775115768138;ACTIVE;hsq-hqv0128;hqv0128;single_variant_exact_sku;1;HQV0128
9637454283082;ACTIVE;hsq-3hs192540x;3hs192540x;multi_variant_suffix_x;3;3HS1925402,3HS1925403,3HS1925404
9637454250314;ACTIVE;hsq-3hs199720x;3hs199720x;multi_variant_suffix_x;2;3HS1997202,3HS1997204
9369924010314;ACTIVE;hsq-3hs25001170x;3hs250011702;single_variant_exact_sku;1;3HS250011702
8774940164426;ACTIVE;hsq-3hs24001730x;3hs24001730x;multi_variant_suffix_x;5;3HS240017302,3HS240017303,3HS240017304,3HS240017305,3HS240017306
8774690079050;DRAFT;hsq-10000360;10000360;single_variant_exact_sku;1;10000360
9369754566986;DRAFT;hsq-00010000360;10000360;single_variant_exact_sku;1;10000360
8774690013514;DRAFT;hsq-10000361;10000361;single_variant_exact_sku;1;10000361
9369754534218;DRAFT;hsq-00010000361;10000361;single_variant_exact_sku;1;10000361
10281903554890;ACTIVE;450-model-bike-ktm-red-bull-sx-f-c-chase-sexton;99981-12-310;single_variant_exact_sku;1;99981-12-310
10192751526218;ACTIVE;450-model-bike-ktm-red-bull-sx-f-c-plessinger;99981-12-292;single_variant_exact_sku;1;99981-12-292
9555738067274;ACTIVE;450-model-bike-ktm-red-bull-dx-f-c-webb;99981-12-291;single_variant_exact_sku;1;99981-12-291
10281904374090;ACTIVE;450-model-bike-ktm-with-rider-1-12;99984-12-802;single_variant_exact_sku;1;99984-12-802
8774690177354;DRAFT;hsq-10000359;10000359;single_variant_exact_sku;1;10000359
9369754632522;DRAFT;hsq-00010000359;10000359;single_variant_exact_sku;1;10000359
10103609491786;DRAFT;a-arm-down-l-s-xc-cpl;83061002044;single_variant_exact_sku;1;83061002044
8705014563146;ACTIVE;abs-sensor;76042125000;single_variant_exact_sku;1;76042125000
10295642816842;ACTIVE;abs-sensor-1;76042025000;single_variant_exact_sku;1;76042025000
9640004976970;ACTIVE;abs-sensor-06-06;60142025000;single_variant_exact_sku;1;60142025000
