Created At,Product Id,Product SKU,Product Title,Product Tags
2024-07-04T23:33:04+02:00,9370040041802,hsq-0000150606800,Locking screw,HSQ - Special tools
2025-06-11T07:57:01+02:00,10230406054218,hsq-00010000283,Wheel set,HSQ - Wheels
2025-06-11T07:57:17+02:00,10230406349130,hsq-00010000313,Plastic parts kit 125-501 FE/TE/TC/FC 19-23,HSQ - Trim parts/decals
2025-06-11T07:57:14+02:00,10230406250826,hsq-00010000322,Plastic parts kit 125-450 FC/TC 19-22,HSQ - Trim parts/decals
2025-06-11T07:56:43+02:00,10230405923146,hsq-00010000344,Lock-on grip set 50 TC/5 EE 20-25,HSQ - Handlebars/instruments/electrics
2025-01-09T08:53:50+01:00,9637444845898,hsq-00010000345,Flame brake disc kit  125-501 TC/FC/FE/TE/TX/FX  14-25,HSQ - Brakes
2025-01-09T08:53:47+01:00,9637444813130,hsq-00010000346,Flame brake disc kit 125-501 TC/FC/FE/TE/FX/TX 18-21,HSQ - Brakes
2025-06-11T07:56:08+02:00,10230405431626,hsq-00010000347,Highering kit,HSQ - Chassis/triple clamp
2024-07-04T21:09:11+02:00,9369866436938,hsq-00010000353,Tire lever set,HSQ - Tool/transport
2025-08-01T09:34:08+02:00,10316821332298,hsq-00010000354,Rear brake conversion kit 85 TC 18-20,HSQ - Brakes
2024-07-04T20:40:29+02:00,9369822691658,hsq-00010000363,Crash bung kit,"HSQ - Protection, nada-hidden"
2024-04-20T23:13:50+02:00,8774788055370,hsq-00010000373k,"Plastic parts kit FC, FX, TC, TX (125-450) 22-25",HSQ - Trim parts/decals
2024-04-20T23:13:47+02:00,8774788022602,hsq-00010000375k,"Plastic parts kit FC, FX, TC, TX (125-450) 22-25",HSQ - Trim parts/decals
2024-07-04T19:30:16+02:00,9369739690314,hsq-00010000376,Plastic parts kit,HSQ - Technical Accessories
2024-04-20T23:13:44+02:00,8774787989834,hsq-00010000379k,"Plastic parts kit FC, FX, TC, TX (125-450) 22-25",HSQ - Trim parts/decals
2024-07-04T21:08:28+02:00,9369865191754,hsq-00010000380,Cleaning kit,HSQ - Tool/transport
2025-08-01T09:34:23+02:00,10316822315338,hsq-00010000381,Factory Racing brake and clutch master cylinder guard 125-350 TC/FC/TX/FX 14-25,HSQ - Carbon
2025-01-09T08:53:44+01:00,9637444780362,hsq-00010000384,Flame brake disc kit 125-501 FE/TE/FX/TX  22-25,HSQ - Brakes
2024-04-20T23:12:46+02:00,8774787268938,hsq-00010000390k,"Plastic parts kit FE, TE (125-501) 24-25",HSQ - Trim parts/decals
2024-04-20T23:12:48+02:00,8774787301706,hsq-00010000391k,"Plastic parts kit FE, TE (125-501) 24-25",HSQ - Trim parts/decals
2024-04-20T23:12:43+02:00,8774787236170,hsq-00010000392k,"Plastic parts kit FE, TE (125-501) 24-25",HSQ - Trim parts/decals
2024-04-20T23:12:40+02:00,8774787203402,hsq-00010000393k,"Plastic parts kit FE, TE (125-501) 24-25","HSQ - Trim parts/decals, stock, synkro-clone-ktm-shop-nederland"
2025-06-11T07:56:53+02:00,10230405988682,hsq-00010000401,Factory wheel set,HSQ - Wheels
2024-04-20T23:12:35+02:00,8774787105098,hsq-00010000406k,Plastic parts kit 701 (SUPERMOTO) 16-24,HSQ - Trim parts/decals
2024-04-20T23:12:04+02:00,8774786679114,hsq-00010000407k,Plastic parts kit 701 (SUPERMOTO) 21-24,HSQ - Trim parts/decals
2025-06-11T07:55:38+02:00,10230405038410,hsq-00010000408,Factory Racing 2-stroke line 125 TC  23-25,HSQ - Exhaust systems
2025-06-11T07:55:34+02:00,10230404972874,hsq-00010000409,Factory Racing 2-stroke line 250/300 TC/TX 23-25,HSQ - Exhaust systems
2025-06-11T07:55:30+02:00,10230404940106,hsq-00010000410,Factory Racing 2-stroke line 250/300 TE 24-25,HSQ - Exhaust systems
2025-06-11T07:56:01+02:00,10230405267786,hsq-00010000413,Adjuster kit 125-501 TE/TC/FE/FC/FX/TX 23-25,HSQ - Chassis/triple clamp
2025-06-11T07:56:04+02:00,10230405300554,hsq-00010000420,Piston ring set 125-501 FE/TE/FC/TC/FX  22-25,HSQ - Chassis/triple clamp
2024-07-04T20:32:25+02:00,9369813254474,hsq-00010000424,Wireless charging module,HSQ - Technical Accessories
2025-06-11T07:56:12+02:00,10230405529930,hsq-00010000425,Footpeg rubber,HSQ - Technical Accessories
2024-07-05T08:09:06+02:00,9370533069130,hsq-00010000433k,"Plastic parts kit FC, TC (125, 250, 350, 450) 23-25",HSQ - Trim parts/decals
2024-07-05T08:09:02+02:00,9370533003594,hsq-00010000434k,"Plastic parts kit FC, TC (125, 250, 350, 450) 23-25",HSQ - Trim parts/decals
2024-07-05T08:08:58+02:00,9370532970826,hsq-00010000435k,"Plastic parts kit FC, TC (125, 250, 350, 450) 23-25",HSQ - Trim parts/decals
2025-01-09T08:54:49+01:00,9637445534026,hsq-00010000439,Side bag carrier 801 VITPILEN/SVARTPILEN 24-25,HSQ - Technical Accessories
2025-08-01T09:34:34+02:00,10316823200074,hsq-00010000447,Clamp set,HSQ - Handlebars/instruments/electrics
2025-08-01T09:34:55+02:00,10316823920970,hsq-00010000448k,Plastic parts kit 85 TC 2025,HSQ - Trim parts/decals
2026-05-18T21:22:27+02:00,15664991043914,hsq-00010000453k,Plastic parts kit,HSQ - Trim parts/decals
2026-05-18T21:22:31+02:00,15664991076682,hsq-00010000454k,Plastic parts kit,HSQ - Trim parts/decals
2026-05-18T21:22:33+02:00,15664991109450,hsq-00010000458k,Plastic parts kit,HSQ - Trim parts/decals
2026-05-18T21:22:36+02:00,15664991174986,hsq-00010000459k,Plastic parts kit,HSQ - Trim parts/decals
2026-05-18T21:22:38+02:00,15664991273290,hsq-00010000460k,Plastic parts kit,HSQ - Trim parts/decals
2024-07-04T23:29:00+02:00,9370036142410,hsq-00029013002,Bleeder cover,HSQ - Special tools
2026-05-18T21:22:41+02:00,15664991306058,hsq-00029013002-02,"Spare part, bleeder cover",HSQ - Special tools
2024-07-04T23:29:09+02:00,9370036371786,hsq-00029013004,Bleeder cover,HSQ - Special tools
2026-05-18T21:22:44+02:00,15664991338826,hsq-00029013004-02,"Spare part, bleeder cover",HSQ - Special tools
2024-07-04T23:29:05+02:00,9370036273482,hsq-00029013005,Bleeder cover,HSQ - Special tools
2026-05-18T21:22:46+02:00,15664991371594,hsq-00029013005-01,"Spare part, bleeder cover",HSQ - Special tools
2024-07-04T23:29:14+02:00,9370036535626,hsq-00029013006,Bleeder cover,HSQ - Special tools
2024-07-04T23:29:27+02:00,9370036994378,hsq-00029013009,Bleeder cover,HSQ - Special tools
2026-05-18T21:22:51+02:00,15664991437130,hsq-00029013009-01,"Spare part, bleeder cover",HSQ - Special tools
2024-07-04T23:29:18+02:00,9370036699466,hsq-00029013012,Bleeder cover,HSQ - Special tools
2024-07-04T23:29:23+02:00,9370036797770,hsq-00029013013,Bleeder cover,HSQ - Special tools
