handle,sample_sku,sku_count
hsq-200svartpilen2020,F1103T5,11
hsq-2103l9,2103L9,1
hsq-22112922500,22112922500,1
hsq-22112923500,22112923500,1
hsq-2301j0,2301J0,1
hsq-2301k0,2301K0,1
hsq-2303dx,2303D8,2
hsq-2303e5,2303E5,1
hsq-2303f5,2303F5,1
hsq-2303g2,2303G2,1
hsq-2303g4,2303G4,1
hsq-2303h4,2303H4,1
hsq-2403e9,2403E9,1
hsq-2403g4,2403G4,1
hsq-2475k7,2475K7,1
hsq-2503e5,2503E5,1
hsq-2503f5,2503F5,1
hsq-2503g5,2503G5,1
hsq-2503h4,2503H4,1
hsq-2503h5,2503H5,1
hsq-250svartpilen2020,F1203T5,15
hsq-250vitpilen2020,F1203T1,9
hsq-3ag25003700x,3AG250037001,5
hsq-3ag250037600,3AG250037600,1
hsq-3ag250037700,3AG250037700,1
hsq-3ag250037800,3AG250037800,1
hsq-3ag250037900,3AG250037900,1
hsq-3ag250038200,3AG250038200,1
hsq-3ag250038300,3AG250038300,1
hsq-3ag250038600,3AG250038600,1
hsq-3ag250038900,3AG250038900,1
hsq-3ag250039000,3AG250039000,1
hsq-3ag250039200,3AG250039200,1
hsq-3ag250039300,3AG250039300,1
hsq-3ag250039400,3AG250039400,1
hsq-3ag250040000,3AG250040000,1
hsq-3ag250040100,3AG250040100,1
hsq-3ag250040200,3AG250040200,1
hsq-3ag250040300,3AG250040300,1
hsq-3ag250040400,3AG250040400,1
hsq-3ag250040500,3AG250040500,1
hsq-3ag250040600,3AG250040600,1
hsq-3ag250040700,3AG250040700,1
hsq-3ag250040800,3AG250040800,1
hsq-3ag250040900,3AG250040900,1
hsq-3ag250041000,3AG250041000,1
hsq-3ag250041100,3AG250041100,1
hsq-3hs1470600,3HS1470600,1
hsq-3hs1829200/0x,3HS1829200/01,12
hsq-3hs1829200/1x,3HS1829200/11,12
hsq-3hs19991001x,3HS199910012,3
hsq-3hs25001080x,3HS250010802,6
hsq-401svartpilen2018,F2303R2,3
hsq-401svartpilen2020,F1303T5,18
hsq-401vitpilen2018,F2303R1,2
hsq-401vitpilen2020,F1303T1,19
hsq-701enduro2016,F2603P1,3
hsq-701enduro2017,F2603Q1,2
hsq-701enduro2018,F2603R1,3
hsq-701enduro2019,F2603S1,2
hsq-701enduro2020,F2603T1,2
hsq-701enduro2021,F2603U1,2
hsq-701enduro2022,F2603V1,2
hsq-701enduro2023,F2603W1,2
hsq-701enduro2024,F2603X1,2
hsq-701enduro2026,F2603Z1,3
hsq-701endurolr2020,F2603T2,2
hsq-701supermoto2016,F2603P3,3
hsq-701supermoto2017,F2603Q3,2
hsq-701supermoto2018,F2603R3,3
hsq-701supermoto2019,F2603S3,2
hsq-701supermoto2020,F2603T3,2
hsq-701supermoto2021,F2603U3,2
hsq-701supermoto2022,F2603V3,2
hsq-701supermoto2023,F2603W3,2
hsq-701supermoto2024,F2603X3,2
hsq-701supermoto2026,F2603Z3,3
hsq-701svartpilen2020,F2603T5,4
hsq-701vitpilen2018,F2603R4,2
hsq-701vitpilen2020,F2603T6,3
hsq-79001939031,79001939031,1
hsq-79001939041,79001939041,1
hsq-801svartpilen2024,2787X2_FTI,8
hsq-8120800100020,8120800100020,1
hsq-a43030105033,A43030105033,1
hsq-a43030160000,A43030160000,1
hsq-a47005979010,A47005979010,1
hsq-a47005979030,A47005979030,1
hsq-a47005979050,A47005979050,1
hsq-a49005981010,A49005981010,1
hsq-ee1122023,F3003WF,3
hsq-ee1162023,F3003WG,3
hsq-ee1202023,F3003WI,2
hsq-ee22025,F3001Y8,2
hsq-f1003yx,F1003Y5,2
hsq-f2001427,F2001427,1
hsq-f2001627,F2001627,1
hsq-f2001827,F2001827,1
hsq-f2001927,F2001927,1
hsq-f2001n8,F2001N8,1
hsq-f2001n9,F2001N9,1
hsq-f2001o8,F2001O8,1
hsq-f2001o9,F2001O9,1
hsq-f2001p8,F2001P8,1
hsq-f2001p9,F2001P9,1
hsq-f2001q4,F2001Q4,1
hsq-f2001q6,F2001Q6,1
hsq-f2001q8,F2001Q8,1
hsq-f2001q9,F2001Q9,1
hsq-f2001r4,F2001R4,1
hsq-f2001r5,F2001R5,1
hsq-f2001r6,F2001R6,1
hsq-f2001r8,F2001R8,1
hsq-f2001r9,F2001R9,1
hsq-f2001s4,F2001S4,1
hsq-f2001s5,F2001S5,1
hsq-f2001s6,F2001S6,1
hsq-f2001s8,F2001S8,1
hsq-f2001s9,F2001S9,1
hsq-f2001t4,F2001T4,1
hsq-f2001t5,F2001T5,1
hsq-f2001t6,F2001T6,1
hsq-f2001t8,F2001T8,1
hsq-f2001t9,F2001T9,1
hsq-f2001u4,F2001U4,1
hsq-f2001u5,F2001U5,1
hsq-f2001u6,F2001U6,1
hsq-f2001u8,F2001U8,1
hsq-f2001u9,F2001U9,1
hsq-f2001v4,F2001V4,1
hsq-f2001v5,F2001V5,1
hsq-f2001v6,F2001V6,1
hsq-f2001v8,F2001V8,1
hsq-f2001v9,F2001V9,1
hsq-f2001w4,F2001W4,1
hsq-f2001w5,F2001W5,1
hsq-f2001w6,F2001W6,1
hsq-f2001w8,F2001W8,1
hsq-f2001w9,F2001W9,1
hsq-f2001x4,F2001X4,1
hsq-f2001x6,F2001X6,1
hsq-f2001x8,F2001X8,1
hsq-f2001x9,F2001X9,1
hsq-f2001y4,F2001Y4,1
hsq-f2001y6,F2001Y6,1
hsq-f2001y8,F2001Y8,1
hsq-f2001y9,F2001Y9,1
hsq-f2001z4,F2001Z4,1
hsq-f2001z6,F2001Z6,1
hsq-f2001z8,F2001Z8,1
hsq-f2001z9,F2001Z9,1
hsq-f2101027,F2101027,1
hsq-f2101n0,F2101N0,1
hsq-f2101n1,F2101N1,1
hsq-f2101o0,F2101O0,1
hsq-f2101p0,F2101P0,1
hsq-f2101p1,F2101P1,1
hsq-f2101q0,F2101Q0,1
hsq-f2101q1,F2101Q1,1
hsq-f2101r0,F2101R0,1
hsq-f2101r1,F2101R1,1
hsq-f2101s0,F2101S0,1
hsq-f2101s1,F2101S1,1
hsq-f2101t0,F2101T0,1
hsq-f2101t1,F2101T1,1
hsq-f2101u0,F2101U0,1
hsq-f2101v0,F2101V0,1
hsq-f2101w0,F2101W0,1
hsq-f2101y0,F2101Y0,1
hsq-f2101y2,F2101Y2,1
hsq-f2101y3,F2101Y3,1
hsq-f2101y4,F2101Y4,1
hsq-f2101z1,F2101Z1,1
hsq-f2103m9,F2103M9,1
hsq-f2103n9,F2103N9,1
hsq-f2103q9,F2103Q9,1
hsq-f2103r9,F2103R9,1
hsq-f2103s9,F2103S9,1
hsq-f2103t4,F2103T4,1
hsq-f2103u4,F2103U4,1
hsq-f2103w5,F2103W5,1
hsq-f2103y4,F2103Y4,1
hsq-f2103y5,F2103Y5,1
hsq-f2103y8,F2103Y8,1
hsq-f2103z4,F2103Z4,1
hsq-f2103z8,F2103Z8,1
hsq-f2175q9,F2175Q9,1
hsq-f2175r9,F2175R9,1
hsq-f2175s9,F2175S9,1
hsq-f2175v2,F2175V2,1
hsq-f2175x2,F2175X2,1
hsq-f2175y6,F2175Y6,1
hsq-f2175z6,F2175Z6,1
hsq-f2175z9,F2175Z9,1
hsq-f2201n1,F2201N1,1
hsq-f2201o1,F2201O1,1
