Handle,Title,Body (HTML),Vendor,Product category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
hsq-0000150606800,Locking screw,<p></p>Tool for securing components (crankshaft in TDC position).,HUSQVARNA,Hardware > Tools,HSQ - Support tool,HSQ - Special tools,TRUE,Title,Default Title,,,,,0000150606800,,shopify,,continue,manual,19.48,,TRUE,TRUE,9010544369182,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_st_nmon_502347_01_xxx_01__sall__awsg__v1.jpg?v=1676015649,1,Locking screw,FALSE,Locking screw,Tool for securing components (crankshaft in TDC position).,Tools,,Adult,0000150606800,HSQ - Support tool,HSQ - Special tools,new,FALSE,,,,,,,kg,,
hsq-00010000283,Wheel set,"<ul><li>Made of high-strength aluminum</li><li>Lightweight material</li><li>The right combination of look, style, and performance</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Street,HSQ - Wheels,TRUE,Title,Default Title,,,,,00010000283,,shopify,,continue,manual,749.05,,TRUE,TRUE,9010152020628,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000283_wheel_set_new__sall__awsg__v1.jpg?v=1700841583,1,Wheel set,FALSE,Wheel set,"Made of high-strength aluminum Lightweight material The right combination of look, style, and performance",Motor Vehicle Parts,,Adult,00010000283,HSQ - Street,HSQ - Wheels,new,FALSE,,,,,,,kg,,
hsq-00010000283,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_grid_wheel_set_00010000283_grid__sall__awsg__v1.png?v=1700841827,2,Wheel set,,,,,,,,,,,,,,,,,,,,
hsq-00010000313,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Air filter cover LH</li><li class=""li-square"">Air filter cover RH</li><li class=""li-square"">Side fairing LH</li><li class=""li-square"">Side fairing RH</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Headlight shroud</li><li class=""li-square"">Tail section</li><li class=""li-square"">Fork protector</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000313,,shopify,,continue,manual,199.95,,TRUE,TRUE,9010152020321,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000313_plastic_parts_kit__sall__awsg__v1.jpg?v=1700841105,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Air filter cover LH Air filter cover RH Side fairing LH Side fairing RH Start number plate Spoiler set Headlight shroud Tail section Fork protector,Motor Vehicle Parts,,Adult,00010000313,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
hsq-00010000322,Plastic parts kit,"Kit contains:<ul><li class=""li-square"">Fender</li><li class=""li-square"">Air filter cover (LH)</li><li class=""li-square"">Air filter cover (RH)</li><li class=""li-square"">Side fairing (LH)</li><li class=""li-square"">Side fairing (RH)</li><li class=""li-square"">Start number plate</li><li class=""li-square"">Spoiler set</li><li class=""li-square"">Tail section</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Trim parts,HSQ - Trim parts/decals,TRUE,Title,Default Title,,,,,00010000322,,shopify,,continue,manual,169.94,,TRUE,TRUE,9010152020246,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_mx_neu_00010000322_plastic_parts_kit__sall__awsg__v1.jpg?v=1700841159,1,Plastic parts kit,FALSE,Plastic parts kit,Kit contains: Fender Air filter cover (LH) Air filter cover (RH) Side fairing (LH) Side fairing (RH) Start number plate Spoiler set Tail section,Motor Vehicle Parts,,Adult,00010000322,HSQ - Trim parts,HSQ - Trim parts/decals,new,FALSE,,,,,,,kg,,
hsq-00010000344,Lock-on grip set,<ul><li>Right grip permanently glued to the throttle grip</li><li>Left grip with aluminum clamping ring for fixing on the handlebar</li><li>Inconvenient gluing and securing with wire no longer necessary</li></ul>,HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Grips,HSQ - Handlebars/instruments/electrics,TRUE,Title,Default Title,,,,,00010000344,,shopify,,continue,manual,23.96,,TRUE,TRUE,9010544274905,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000344_lock_on_grip_set__sall__awsg__v1.jpg?v=1650460575,1,Lock-on grip set,FALSE,Lock-on grip set,Right grip permanently glued to the throttle grip Left grip with aluminum clamping ring for fixing on the handlebar Inconvenient gluing and securing with wire no longer necessary,Motor Vehicle Parts,,Adult,00010000344,HSQ - Grips,HSQ - Handlebars/instruments/electrics,new,FALSE,,,,,,,kg,,
hsq-00010000345,Flame brake disc kit,"<ul><li>Up to 20% weight saving compared to stock components;</li><li>Incl. the required CNC machined, black anodized brake caliper support for Brembo brake systems</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Brake discs,HSQ - Brakes,TRUE,Title,Default Title,,,,,00010000345,,shopify,,continue,manual,239.10,,TRUE,TRUE,9010544242683,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_78913914100_78909960000_brake_calliper_support__sall__awsg__v1.jpg?v=1650466413,1,Flame brake disc kit,FALSE,Flame brake disc kit,"Up to 20% weight saving compared to stock components; Incl. the required CNC machined, black anodized brake caliper support for Brembo brake systems",Motor Vehicle Parts,,Adult,00010000345,HSQ - Brake discs,HSQ - Brakes,new,FALSE,,,,,,,kg,,
hsq-00010000346,Flame brake disc kit,"<ul><li>Up to 20% weight saving compared to stock components</li><li>Incl. the required CNC machined, black anodized brake caliper support for Magura brake systems</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Brake discs,HSQ - Brakes,TRUE,Title,Default Title,,,,,00010000346,,shopify,,continue,manual,239.10,,TRUE,TRUE,9010544242676,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_78913914100_78909960000_brake_calliper_support__sall__awsg__v1.jpg?v=1650466413,1,Flame brake disc kit,FALSE,Flame brake disc kit,"Up to 20% weight saving compared to stock components Incl. the required CNC machined, black anodized brake caliper support for Magura brake systems",Motor Vehicle Parts,,Adult,00010000346,HSQ - Brake discs,HSQ - Brakes,new,FALSE,,,,,,,kg,,
hsq-00010000347,Highering kit,"<ul><li class=""li-square"">Especially for taller riders</li><li class=""li-square"">+10mm seatheight</li><li class=""li-square"">Up to +45mm possible in combination with a higher seat (optional)</li><li class=""li-square"">This kit requires an adaptation of the rar shock setting!</li></ul>",HUSQVARNA,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,HSQ - Suspension components,HSQ - Chassis/triple clamp,TRUE,Title,Default Title,,,,,00010000347,,shopify,,continue,manual,449.03,,TRUE,TRUE,9010544249392,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_hp_nmon_00010000347_highering_kit__sall__awsg__v1.jpg?v=1700840752,1,Highering kit,FALSE,Highering kit,Especially for taller riders +10mm seatheight Up to +45mm possible in combination with a higher seat (optional) This kit requires an adaptation of the rar shock setting!,Motor Vehicle Parts,,Adult,00010000347,HSQ - Suspension components,HSQ - Chassis/triple clamp,new,FALSE,,,,,,,kg,,
hsq-00010000353,Tire lever set,"There's racing experience here as well! <br />Practical tyre lever set, consisting of<ul><li class=""li-square"">3 x short version 51012092100</li><li class=""li-square"">3 x long version 51012093100</li></ul>",HUSQVARNA,Hardware > Tools,HSQ - Tools,HSQ - Tool/transport,TRUE,Title,Default Title,,,,,00010000353,,shopify,,continue,manual,85.06,,TRUE,TRUE,9010544331455,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000353_tyre_lever_set__sall__awsg__v1.jpg?v=1650461278,1,Tire lever set,FALSE,Tire lever set,"There's racing experience here as well! Practical tyre lever set, consisting of 3 x short version 51012092100 3 x long version 51012093100",Tools,,Adult,00010000353,HSQ - Tools,HSQ - Tool/transport,new,FALSE,,,,,,,kg,,
