Oud_artikelnummer;Vervangend_artikelnummer;Vervanger_staat_apart_in_shop;Vervanger_productstatus
00010000282;61309960000;ja;active
00010000289;64109960000;ja;active
00010000310;77701094100AB;ja;active
00010000310;79008010000AB;ja;active
00010000310;79106003000AB;ja;active
00010000310;79106004000AB;ja;active
00010000310;79106005000AB;ja;active
00010000310;79108007100AB;ja;active
00010000310;79108054000AB;ja;active
00010000310;79708001000AB;ja;active
00010000310;79708013000AB;ja;active
00010000311;77701094100EB;ja;active
00010000311;79008010000EB;ja;active
00010000311;79106003000EB;ja;active
00010000311;79106004000EB;ja;active
00010000311;79106005000EB;ja;active
00010000311;79108007100EB;ja;active
00010000311;79108054000EB1;ja;active
00010000311;79708001000EB;ja;active
00010000311;79708013000EB;ja;active
00010000313;25001094100AB;ja;active
00010000313;25008010000AB;ja;active
00010000313;25106003000AB;ja;active
00010000313;25106004000AB;ja;active
00010000313;25106013000AB;ja;active
00010000313;25106014000AB;ja;active
00010000313;25108007000AB;ja;active
00010000313;25108054000AB;ja;active
00010000313;26608001000AB;ja;active
00010000313;26608013100AB;ja;active
00010000319;79008010000AB;ja;active
00010000319;79106003000AB;ja;active
00010000319;79106004000AB;ja;active
00010000319;79106005000AB;ja;active
00010000319;79108007100AB;ja;active
00010000319;79108013000AB;ja;active
00010000319;79108054000AB;ja;active
00010000320;79008010000EB;ja;active
00010000320;79106003000EB;ja;active
00010000320;79106004000EB;ja;active
00010000320;79106005000EB;ja;active
00010000320;79108007100EB;ja;active
00010000320;79108013000EB;ja;active
00010000320;79108054000EB1;ja;active
00010000324;61704950000;ja;active
00010000324;61707958133;ja;active
00010000324;6170891000001A;ja;active
00010000324;61708926000;ja;active
00010000324;61708927000;ja;active
00010000324;61708949000;ja;active
00010000324;61708950000;ja;active
00010000324;61708951000;ja;active
00010000324;61708998000;ja;active
00010000345;78909960000;ja;active
00010000345;78913914100;ja;active
00010000346;26113914000;ja;active
00010000346;78909960000;ja;active
00010000350;64109001033EB;nee;
00010000350;64110001033EB;nee;
00010000352;61709004044C1;ja;active
00010000352;61710004000C1;ja;active
00010000353;51012092100;ja;active
00010000353;51012093100;ja;active
00010000354;0770080019;ja;active
00010000354;47210960000;ja;active
00010000354;47213070000;nee;
00010000354;47213080001;nee;
00010000354;47213084000;nee;
00010000354;47213090000;ja;active
00010000363;63609945166C1;nee;
00010000364;6360994516604;nee;
00010000365;61709003144EB;nee;
00010000365;61710003000EB;nee;
00010000366;A46006003000AB;ja;active
00010000366;A46006004000AB;ja;active
00010000366;A46006005000AB;ja;active
00010000366;A46008007000AB;ja;active
00010000366;A46008010000AB;ja;active
00010000366;A46008013000AB;ja;active
00010000366;A46008054000AB1;ja;active
00010000367K;00010000429K;ja;active
00010000368;A46006003000EB;ja;active
00010000368;A46006004000EB;ja;active
00010000368;A46006005000EB;ja;active
00010000368;A46008007000EB;ja;active
00010000368;A46008010000EB;ja;active
00010000368;A46008013000EB;ja;active
00010000368;A46008054000EB1;ja;active
00010000369K;00010000430K;ja;active
00010000370;A46006003000C1;ja;active
00010000370;A46006004000C1;ja;active
00010000370;A46006005000C1;ja;active
00010000370;A46008007000C1;ja;active
00010000370;A46008010000C1;ja;active
00010000370;A46008013000C1;ja;active
00010000370;A46008054000C12;ja;active
00010000371K;00010000431K;ja;active
00010000373K;00010000435K;ja;active
00010000379K;00010000434K;ja;active
00010000380;81212016100;ja;active
00010000380;A46006998000;ja;active
00010000380;A46012950000;ja;active
00010000381;A46002940010;ja;active
00010000381;A46002941010;ja;active
00010000382;A46006003000HH;ja;active
00010000382;A46006004000HH;ja;active
00010000382;A46006005000HH;ja;active
00010000382;A46008007000HH;ja;active
00010000382;A46008010000HH;ja;active
00010000382;A46008013000HH;ja;active
00010000382;A46008054000HH3;ja;active
00010000385;95812968044;ja;active
00010000385;95814910044C1;ja;active
00010000401;22109901044C1;ja;active
00010000401;22110901044C1;ja;active
00010000402;2210990104404;ja;active
00010000402;2211090104404;ja;active
00010000408;A42005907500;ja;active
00010000408;A42005979000;ja;active
00010000409;A44005907500;ja;active
00010000409;A44005979000;ja;active
00010000410;A44005907500;ja;active
00010000410;A45005979000;ja;active
00010000412;96307040025;nee;
00010000412;96307955044C1;ja;active
00010000413;A46004925033;ja;active
00010000413;A46004925066;ja;active
00010000415;S043400003S0000;nee;
00010000416;00010000411;nee;
00010000416;S043400003S0000;nee;
00010000417;A62412939044;ja;active
00010000422;61714937044;ja;active
00010000423;A62411941040;ja;active
00010000423;A62412993010;ja;active
00010000424;A62411941050;ja;active
00010000424;A62412993010;ja;active
00010000425;61903040010;ja;active
00010000425;61903041010;ja;active
00010000426;A63714925000;ja;active
00010000426;A63714926000;ja;active
00010000427;A63714950000;ja;active
00010000427;A63714951000;ja;active
00010000428;A63714925000;ja;active
00010000428;A63714926000;ja;active
00010000428;A63714950000;ja;active
00010000428;A63714951000;ja;active
00010000432;44011076305;ja;active
00010000432;61912035000;ja;active
00010000438;A63714925000;ja;active
00010000438;A63714926000;ja;active
00010000447;A67413105000;nee;
00029015000;00029015100;ja;active
00029016000;00029016100;ja;active+draft
00029090000;00029090100;ja;active+draft
00029095009;00029095014;ja;active
00029095010;00029095011;ja;active
00029098000;00029098300;ja;active
00029098100;00029098400;ja;active
00029996000;00029996100;ja;active
00029999000;00029999300;ja;active
00029999100;00029999300;ja;active
00029999200;00029999300;ja;active
00050000002;50430007010 II;nee;
00050000004;52330007310 II;nee;
00050000010;50430007010 I;nee;
00050000012;52330007310 I;nee;
00050000013;77130007010 II;nee;
