handle,sample_sku,sku_count
wp-1050adv2015,F9903OC,3
wp-1050adv2016,F9903PC,4
wp-1090adventure2017,F9903QB,5
wp-1090adventurer2017,F9903QD,6
wp-1190rc82010,9903J0,15
wp-1190rc82011,9903K0,5
wp-1190rc8r2010,9903J2,5
wp-1190rc8r2011,9903K1,9
wp-1190rc8r2012,9903L1,11
wp-1190rc8r2013,F9903M1,8
wp-1190rc8r2014,F9903N1,4
wp-1190rc8r2015,F9903O1,4
wp-1190rc8r2016,F9903P1,3
wp-1190rc8rt2011,9903KT,2
wp-1199panigale2011,1199PANIGALE2011,1
wp-1199panigale2012,1199PANIGALE2012,1
wp-1199panigale2013,1199PANIGALE2013,1
wp-1199panigale2014,1199PANIGALE2014,1
wp-125 rc 2 2012,8003L2,2
wp-125duke2019,F4003S1,6
wp-125duke2023,F4003W1,6
wp-125duke2025,F4003Y1,8
wp-125duke2026,F4002Z3,8
wp-125enduror2026,F5002Z5,4
wp-125ser2019,125SER2019,1
wp-125ser2020,125SER2020,1
wp-125smcr2026,F5002Z6,4
wp-125sx2015,F6101O0,2
wp-125sx2016,F6101P0,2
wp-125sx2017,F6101Q0,2
wp-125sx2018,F6101R0,2
wp-125sx2019,F6101S0,2
wp-125sx2020,F6101T0,2
wp-1290sduker2014,F9903N2,10
wp-1290sduker2015,F9903O2,10
wp-1290sduker2016,F9903P2,10
wp-1290superadventurer2017,F9903Q6,8
wp-1290superadventurer2021,F9903U6,5
wp-1290superadventurer2022,F9903V6,5
wp-1290superadventures2017,F9903Q4,12
wp-1290superadventures2021,F9903U4,7
wp-1290superadventures2022,F9903V4,8
wp-1290superadventuret2017,F9903QA,6
wp-1290superdukegt2017,F9903QE,12
wp-1290superdukegt2021,F9903UE,5
wp-1290superdukegt2023,F9903WF,4
wp-1290superduker2017,F9903Q2,12
wp-1290superduker2018,F9903R2,7
wp-1290superduker2019,F9903S2,5
wp-1290superduker2020,F9903T2,7
wp-1290superduker2021,F9903U2,7
wp-1290superduker2023,F9903W2,4
wp-1290superdukerevo2023,F9903WS,6
wp-1290superdukerr2021,F9903UR,2
wp-1299panigale2015,1299PANIGALE2015,1
wp-1299panigale2016,1299PANIGALE2016,1
wp-1299panigale2017,1299PANIGALE2017,1
wp-1299panigale2018,1299PANIGALE2018,1
wp-1390superduker2024,F9903X2,4
wp-150sx2015,F6101O1,2
wp-150sx2016,F6101P1,2
wp-150sx2017,F6101Q1,2
wp-150sx2018,F6101R1,2
wp-150sx2019,F6101S1,2
wp-150sx2020,F6101T1,2
wp-150xc-w2017,F7101Q3,2
wp-200duke2018,F4103R1,26
wp-200duke2019,F4103S1,23
wp-200duke2021,F4103U2,18
wp-200duke2023,F4103W2,11
wp-200duke2025,00JP1J1T,22
wp-200duke2026,F4102Z2,12
wp-200dukewoabs2023,F4103W4L,6
wp-200exc2012,7203L6,2
wp-200exc2015,F7203O6,2
wp-200exc2016,F7203P6,2
wp-2020dukewoabs2021,F4103U5,12
wp-250adventure2021,F5203U5,36
wp-250adventure2022,F5203V1,28
wp-250duke2018,F4203R1,18
wp-250duke2019,F4203S1,24
wp-250duke2021,F4203U1,16
wp-250duke2023,F4203W1,12
wp-250duke2025,00JP1E09,20
wp-250duke2026,F4202Z1,12
wp-250dukewoabs2021,F4203U3,6
wp-250exc-f2017,F8103Q9,4
wp-250exc-f2018,F8103R9,5
wp-250exc-f2019,F8103S9,5
wp-250exc2012,7303L6,2
wp-250exc2015,F7303O6,2
wp-250exc2016,F7303P6,2
wp-250exc2017,F7303Q6,2
wp-250excf2012,8103L9,2
wp-250excf2015,F8103O9,4
wp-250excf2016,F8103P9,3
wp-250excf2020,F8103T9,3
wp-250excf2021,F8103U9,2
wp-250excf2023,F8103W9,2
wp-250exctpi2018,F7303R7,3
wp-250se-rfactory2015,250SE-RFACTORY2015,1
wp-250se-rfactory2016,250SE-RFACTORY2016,1
wp-250sef-r2015,250SEF-R2015,1
wp-250sef-r2016,250SEF-R2016,1
wp-250sef2015,250SEF2015,1
wp-250sef2016,250SEF2016,1
wp-250sefr2017,250SEFR2017,1
wp-250sefr2018,250SEFR2018,1
wp-250sefr2019,250SEFR2019,1
wp-250sefr2020,250SEFR2020,1
wp-250ser2017,250SER2017,1
wp-250ser2018,250SER2018,1
wp-250ser2019,250SER2019,1
wp-250ser2020,250SER2020,1
wp-250sx-f2017,F8101Q5,2
wp-250sx-f2018,F8101R5,2
wp-250sx-f2019,F8101S5,2
wp-250sx-f2020,F8101T5,2
wp-250sx2013,F6301M0,2
wp-250sx2015,F6301O0,2
wp-250sx2016,F6301P0,2
wp-250sx2017,F6301Q0,2
wp-250sx2018,F6301R0,2
wp-250sx2019,F6301S0,2
wp-250sx2020,F6301T0,2
wp-250sxf2015,F8101O5,2
wp-250sxf2016,F8101P5,3
wp-250sxf2021,F8101U5,2
wp-250sxf2023,F8101W5,4
wp-250sxf2027,F8101527,3
wp-250xc-f2017,F8101Q0,2
wp-250xc-w2017,F7301Q3,2
wp-250xc-w2018,F7175R4,2
wp-250xc2017,F6301Q5,2
wp-300exc2012,7403L6,2
wp-300exc2015,F7403O6,4
wp-300exc2016,F7403P6,3
wp-300exc2017,F7403Q6,3
wp-300exc2023,F7403W7,2
wp-300excsd2023,7487W2_CFMOTO,6
wp-300exctpi2018,F7403R7,3
wp-300se-rfactory2015,300SE-RFACTORY2015,1
wp-300se-rfactory2016,300SE-RFACTORY2016,1
wp-300sef-r2015,300SEF-R2015,1
wp-300sef-r2016,300SEF-R2016,1
wp-300sef-rfactory15,300SEF-RFACTORY15,1
wp-300sef-rfactory16,300SEF-RFACTORY16,1
wp-300sef2015,300SEF2015,1
wp-300sef2016,300SEF2016,1
wp-300sefr2017,300SEFR2017,1
wp-300sefr2018,300SEFR2018,1
wp-300sefr2019,300SEFR2019,1
wp-300sefr2020,300SEFR2020,1
wp-300ser2017,300SER2017,1
wp-300ser2018,300SER2018,1
wp-300ser2019,300SER2019,1
wp-300ser2020,300SER2020,1
wp-300xc-w2017,F7401Q3,2
wp-300xc2017,F6401Q5,2
wp-300xcwsixdays2017,F7401Q2,2
wp-350exc-f2017,F8203Q9,4
wp-350exc-f2018,F8203R9,4
wp-350exc-f2019,F8203S9,4
wp-350exc-fsd2017,F8203Q2,2
wp-350exc-fsd2019,F8203S2,2
wp-350exc-fsixdays2018,F8203R2,2
wp-350excf2012,8203L9,3
wp-350excf2015,F8203O9,5
wp-350excf2016,F8203P9,4
wp-350excf2020,F8203T9,3
wp-350excf2021,F8203U9,3
wp-350excf2023,F8203W9,4
wp-350excfsd2020,F8203T2,2
wp-350excfsd2021,F8203U2,2
wp-350excfsd2023,8287W2_CFMOTO,7
wp-350sx-f2017,F8201Q5,2
wp-350sx-f2018,F8201R5,2
wp-350sx-f2019,F8201S5,2
wp-350sx-f2020,F8201T5,2
wp-350sxf2015,F8201O5,2
wp-350sxf2016,F8201P5,3
wp-350sxf2021,F8201U5,2
wp-350sxf2023,F8201W5,3
wp-350sxf2027,F8201527,2
wp-350xc-f2017,F8201Q0,2
wp-390adventure2020,F5303T5,26
wp-390adventure2021,F5303U5,32
wp-390adventure2022,F5303V5,35
wp-390adventurer2026,F5302ZG,11
wp-390adventurex2026,F5302ZJ,20
wp-390duke2017,F4303Q1,10
wp-390duke2018,F4303R1,22
wp-390duke2019,F4303S1,25
wp-390duke2021,F4303U1,31
wp-390duke2022,F4303V1,36
wp-390duke2023,F4303W1,23
wp-390duke2025,00JP1D1T,29
wp-390duke2026,F4302Z3,15
wp-390enduror2026,F5302Z5,9
wp-390smcr2026,F5302Z6,10
wp-450exc-f2017,F8403Q9,3
wp-450exc-f2018,F8403R9,2
wp-450exc-f2019,F8403S9,2
wp-450exc-fsd2017,F8403Q2,2
wp-450exc-fsd2019,F8403S2,2
wp-450exc-fsixdays2018,F8403R2,2
wp-450exc2012,8403L9,2
wp-450exc2015,F8403O9,2
wp-450exc2016,F8403P9,2
wp-450se2015,450SE2015,1
wp-450se2016,450SE2016,1
wp-450sefr2017,450SEFR2017,1
wp-450sefr2018,450SEFR2018,1
wp-450sefr2019,450SEFR2019,1
wp-450sefr2020,450SEFR2020,1
wp-450sx-f2017,F8401Q5,2
wp-450sx-f2018,F8401R5,2
wp-450sx-f2019,F8401S5,2
wp-450sx-f2020,F8401T5,2
wp-450sxf2015,F8401O5,2
wp-450sxf2016,F8401P5,2
wp-450sxf2021,F8401U5,2
wp-450sxf2023,F8401W5,2
