id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
,wp-1050adv2015,1050 Adventure 2015,"{""KTM"":{""1050 ADVENTURE"":[""2015""]}}",2015,KTM,1050 ADVENTURE,,,,KTM 1050 (STREET) 2015-2015,,,,,,,,,,F9903OC
,wp-1050adv2016,1050 Adventure 2016,"{""KTM"":{""1050 ADVENTURE"":[""2016""]}}",2016,KTM,1050 ADVENTURE,,,,KTM 1050 (STREET) 2016-2016,,,,,,,,,,F9903PC
,wp-1090adventure2017,1090 Adventure 2017,"{""KTM"":{""1090 ADVENTURE"":[""2017""]}}",2017,KTM,1090 ADVENTURE,,,,KTM 1090 (STREET) 2017-2017,,,,,,,,,,F9903QB
,wp-1090adventurer2017,1090 Adventure R 2017,"{""KTM"":{""1090 ADVENTURE R"":[""2017""]}}",2017,KTM,1090 ADVENTURE R,,,,KTM 1090 (STREET) 2017-2017,,,,,,,,,,F9903QD
,wp-1190rc82010,1190 RC8 2010,"{""KTM"":{""1190 RC8"":[""2010""]}}",2010,KTM,1190 RC8,,,,KTM 1190 2010-2010,,,,,,,,,,9903J0
,wp-1190rc82011,1190 RC8 2011,"{""KTM"":{""1190 RC8"":[""2011""]}}",2011,KTM,1190 RC8,,,,KTM 1190 2011-2011,,,,,,,,,,9903K0
,wp-1190rc8r2010,1190 RC8 R 2010,"{""KTM"":{""1190 RC8 R"":[""2010""]}}",2010,KTM,1190 RC8 R,,,,KTM 1190 2010-2010,,,,,,,,,,9903J2
,wp-1190rc8r2011,1190 RC8 R 2011,"{""KTM"":{""1190 RC8 R"":[""2011""]}}",2011,KTM,1190 RC8 R,,,,KTM 1190 2011-2011,,,,,,,,,,9903K1
,wp-1190rc8r2012,1190 RC8 R 2012,"{""KTM"":{""1190 RC8 R"":[""2012""]}}",2012,KTM,1190 RC8 R,,,,KTM 1190 2012-2012,,,,,,,,,,9903L1
,wp-1190rc8r2013,1190 RC8 R 2013,"{""KTM"":{""1190 RC8 R"":[""2013""]}}",2013,KTM,1190 RC8 R,,,,KTM 1190 2013-2013,,,,,,,,,,F9903M1
,wp-1190rc8r2014,1190 RC8 R 2014,"{""KTM"":{""1190 RC8 R"":[""2014""]}}",2014,KTM,1190 RC8 R,,,,KTM 1190 2014-2014,,,,,,,,,,F9903N1
,wp-1190rc8r2015,1190 RC8 R 2015,"{""KTM"":{""1190 RC8 R"":[""2015""]}}",2015,KTM,1190 RC8 R,,,,KTM 1190 2015-2015,,,,,,,,,,F9903O1
,wp-1190rc8r2016,1190 RC8 R 2016,"{""KTM"":{""1190 RC8 R"":[""2016""]}}",2016,KTM,1190 RC8 R,,,,KTM 1190 2016-2016,,,,,,,,,,F9903P1
,wp-1190rc8rt2011,1190 RC8 R Track 2011,"{""KTM"":{""1190 RC8 R TRACK"":[""2011""]}}",2011,KTM,1190 RC8 R TRACK,,,,KTM 1190 2011-2011,,,,,,,,,,9903KT
,wp-1199panigale2011,Ducati 1199 Panigale 2011,,,,,,,,,,,,,,,,,,1199PANIGALE2011
,wp-1199panigale2012,Ducati 1199 Panigale 2012,,,,,,,,,,,,,,,,,,1199PANIGALE2012
,wp-1199panigale2013,Ducati 1199 Panigale 2013,,,,,,,,,,,,,,,,,,1199PANIGALE2013
,wp-1199panigale2014,Ducati 1199 Panigale 2014,,,,,,,,,,,,,,,,,,1199PANIGALE2014
,wp-125 rc 2 2012,125 RC 2 2012,"{""KTM"":{""125 RC 2"":[""2012""]}}",2012,KTM,125 RC 2,,,,KTM 125 2012-2012,,,,,,,,,,8003L2
,wp-125duke2019,125 Duke 2019,"{""KTM"":{""125 DUKE"":[""2019""]}}",2019,KTM,125 DUKE,,,,KTM 125 (STREET) 2019-2019,,,,,,,,,,F4003S1
,wp-125duke2023,125 Duke 2023,"{""KTM"":{""125 DUKE"":[""2023""]}}",2023,KTM,125 DUKE,,,,KTM 125 (STREET) 2023-2023,,,,,,,,,,F4003W1
,wp-125duke2025,125 Duke 2025,"{""KTM"":{""125 DUKE"":[""2025""]}}",2025,KTM,125 DUKE,,,,KTM 125 (STREET) 2025-2025,,,,,,,,,,F4003Y1
,wp-125duke2026,125 Duke 2026,"{""KTM"":{""125 DUKE"":[""2026""]}}",2026,KTM,125 DUKE,,,,KTM 125 (STREET) 2026-2026,,,,,,,,,,F4002Z3
,wp-125enduror2026,125 Enduro R 2026,"{""KTM"":{""125 ENDURO R"":[""2026""]}}",2026,KTM,125 ENDURO R,,,,KTM 125 (ENDURO) 2026-2026,,,,,,,,,,F5002Z5
,wp-125ser2019,Sherco 125 SE-R 2019,,,,,,,,,,,,,,,,,,125SER2019
,wp-125ser2020,Sherco 125 SE-R 2020,,,,,,,,,,,,,,,,,,125SER2020
,wp-125smcr2026,125 SMC R 2026,"{""KTM"":{""125 SMC R"":[""2026""]}}",2026,KTM,125 SMC R,,,,KTM 125 (STREET) 2026-2026,,,,,,,,,,F5002Z6
,wp-125sx2015,125 SX 2015,"{""KTM"":{""125 SX"":[""2015""]}}",2015,KTM,125 SX,,,,KTM 125 (SX) 2015-2015,,,,,,,,,,F6101O0
,wp-125sx2016,125 SX 2016,"{""KTM"":{""125 SX"":[""2016""]}}",2016,KTM,125 SX,,,,KTM 125 (SX) 2016-2016,,,,,,,,,,F6101P0
,wp-125sx2017,125 SX 2017,"{""KTM"":{""125 SX"":[""2017""]}}",2017,KTM,125 SX,,,,KTM 125 (SX) 2017-2017,,,,,,,,,,F6101Q0
,wp-125sx2018,125 SX 2018,"{""KTM"":{""125 SX"":[""2018""]}}",2018,KTM,125 SX,,,,KTM 125 (SX) 2018-2018,,,,,,,,,,F6101R0
,wp-125sx2019,125 SX 2019,"{""KTM"":{""125 SX"":[""2019""]}}",2019,KTM,125 SX,,,,KTM 125 (SX) 2019-2019,,,,,,,,,,F6101S0
,wp-125sx2020,125 SX 2020,"{""KTM"":{""125 SX"":[""2020""]}}",2020,KTM,125 SX,,,,KTM 125 (SX) 2020-2020,,,,,,,,,,F6101T0
,wp-1290sduker2014,1290 Super Duke R 2014,"{""KTM"":{""1290 SUPER DUKE R"":[""2014""]}}",2014,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2014-2014,,,,,,,,,,F9903N2
,wp-1290sduker2015,1290 Super Duke R 2015,"{""KTM"":{""1290 SUPER DUKE R"":[""2015""]}}",2015,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2015-2015,,,,,,,,,,F9903O2
,wp-1290sduker2016,1290 Super Duke R 2016,"{""KTM"":{""1290 SUPER DUKE R"":[""2016""]}}",2016,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2016-2016,,,,,,,,,,F9903P2
,wp-1290superadventurer2017,1290 Super Adventure R 2017,"{""KTM"":{""1290 SUPER ADVENTURE R"":[""2017""]}}",2017,KTM,1290 SUPER ADVENTURE R,,,,KTM 1290 (STREET) 2017-2017,,,,,,,,,,F9903Q6
,wp-1290superadventurer2021,1290 Super Adventure R 2021,"{""KTM"":{""1290 SUPER ADVENTURE R"":[""2021""]}}",2021,KTM,1290 SUPER ADVENTURE R,,,,KTM 1290 (STREET) 2021-2021,,,,,,,,,,F9903U6
,wp-1290superadventurer2022,1290 Super Adventure R 2022,"{""KTM"":{""1290 SUPER ADVENTURE R"":[""2022""]}}",2022,KTM,1290 SUPER ADVENTURE R,,,,KTM 1290 (STREET) 2022-2022,,,,,,,,,,F9903V6
,wp-1290superadventures2017,1290 Super Adventure S 2017,"{""KTM"":{""1290 SUPER ADVENTURE S"":[""2017""]}}",2017,KTM,1290 SUPER ADVENTURE S,,,,KTM 1290 (STREET) 2017-2017,,,,,,,,,,F9903Q4
,wp-1290superadventures2021,1290 Super Adventure S 2021,"{""KTM"":{""1290 SUPER ADVENTURE S"":[""2021""]}}",2021,KTM,1290 SUPER ADVENTURE S,,,,KTM 1290 (STREET) 2021-2021,,,,,,,,,,F9903U4
,wp-1290superadventures2022,1290 Super Adventure S 2022,"{""KTM"":{""1290 SUPER ADVENTURE S"":[""2022""]}}",2022,KTM,1290 SUPER ADVENTURE S,,,,KTM 1290 (STREET) 2022-2022,,,,,,,,,,F9903V4
,wp-1290superadventuret2017,1290 Super Adventure T 2017,"{""KTM"":{""1290 SUPER ADVENTURE T"":[""2017""]}}",2017,KTM,1290 SUPER ADVENTURE T,,,,KTM 1290 (STREET) 2017-2017,,,,,,,,,,F9903QA
,wp-1290superdukegt2017,1290 Super Duke GT 2017,"{""KTM"":{""1290 SUPER DUKE GT"":[""2017""]}}",2017,KTM,1290 SUPER DUKE GT,,,,KTM 1290 (STREET) 2017-2017,,,,,,,,,,F9903QE
,wp-1290superdukegt2021,1290 Super Duke GT 2021,"{""KTM"":{""1290 SUPER DUKE GT"":[""2021""]}}",2021,KTM,1290 SUPER DUKE GT,,,,KTM 1290 (STREET) 2021-2021,,,,,,,,,,F9903UE
,wp-1290superdukegt2023,1290 Super Duke GT 2023,"{""KTM"":{""1290 SUPER DUKE GT"":[""2023""]}}",2023,KTM,1290 SUPER DUKE GT,,,,KTM 1290 (STREET) 2023-2023,,,,,,,,,,F9903WF
,wp-1290superduker2017,1290 Super Duke R 2017,"{""KTM"":{""1290 SUPER DUKE R"":[""2017""]}}",2017,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2017-2017,,,,,,,,,,F9903Q2
,wp-1290superduker2018,1290 SUPER DUKE R 2018,"{""KTM"":{""1290 SUPER DUKE R"":[""2018""]}}",2018,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2018-2018,,,,,,,,,,F9903R2
,wp-1290superduker2019,1290 Super Duke R 2019,"{""KTM"":{""1290 SUPER DUKE R"":[""2019""]}}",2019,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2019-2019,,,,,,,,,,F9903S2
,wp-1290superduker2020,1290 Super Duke R 2020,"{""KTM"":{""1290 SUPER DUKE R"":[""2020""]}}",2020,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2020-2020,,,,,,,,,,F9903T2
,wp-1290superduker2021,1290 Super Duke R 2021,"{""KTM"":{""1290 SUPER DUKE R"":[""2021""]}}",2021,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2021-2021,,,,,,,,,,F9903U2
,wp-1290superduker2023,1290 Super Duke R 2023,"{""KTM"":{""1290 SUPER DUKE R"":[""2023""]}}",2023,KTM,1290 SUPER DUKE R,,,,KTM 1290 (STREET) 2023-2023,,,,,,,,,,F9903W2
,wp-1290superdukerevo2023,1290 Super Duke R EVO 2023,"{""KTM"":{""1290 SUPER DUKE R EVO"":[""2023""]}}",2023,KTM,1290 SUPER DUKE R EVO,,,,KTM 1290 (STREET) 2023-2023,,,,,,,,,,F9903WS
,wp-1290superdukerr2021,1290 Super Duke RR 2021,"{""KTM"":{""1290 SUPER DUKE RR"":[""2021""]}}",2021,KTM,1290 SUPER DUKE RR,,,,KTM 1290 (STREET) 2021-2021,,,,,,,,,,F9903UR
,wp-1299panigale2015,Ducati 1299 Panigale 2015,,,,,,,,,,,,,,,,,,1299PANIGALE2015
,wp-1299panigale2016,Ducati 1299 Panigale 2016,,,,,,,,,,,,,,,,,,1299PANIGALE2016
,wp-1299panigale2017,Ducati 1299 Panigale 2017,,,,,,,,,,,,,,,,,,1299PANIGALE2017
,wp-1299panigale2018,Ducati 1299 Panigale R FE 2018,,,,,,,,,,,,,,,,,,1299PANIGALE2018
,wp-1390superduker2024,1390 Super Duke R 2024,"{""KTM"":{""1390 SUPER DUKE R"":[""2024""]}}",2024,KTM,1390 SUPER DUKE R,,,,KTM 1390 (STREET) 2024-2024,,,,,,,,,,F9903X2
,wp-150sx2015,150 SX 2015,"{""KTM"":{""150 SX"":[""2015""]}}",2015,KTM,150 SX,,,,KTM 150 (SX) 2015-2015,,,,,,,,,,F6101O1
