Handle,Title,Body (HTML),Vendor,Product category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
wp-00010000356,Inner fork tube set,"<ul><li>Best possible performance</li><li>The right combination of look, style, and performance</li><li>High-quality look</li></ul><p></p>""DOA"" Deconbond oxyd anthracite coating",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Special parts,WP - Technical Accessories,TRUE,Title,Default Title,,,,,00010000356,,shopify,,continue,manual,539.96,,TRUE,TRUE,9010544315271,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_wp_nmon_00010000356_inner_fork_tube_set__sall__awsg__v2.jpg?v=1680287313,1,Inner fork tube set,FALSE,Inner fork tube set,"Best possible performance The right combination of look, style, and performance High-quality look ""DOA"" Deconbond oxyd anthracite coating",Motor Vehicle Parts,,Adult,00010000356,WP - Special parts,WP - Technical Accessories,new,FALSE,,,,,,,kg,,
wp-00010000358,Inner fork tube set,"<ul><li>Best possible performance</li><li>The right combination of look, style, and performance</li><li>High-quality look</li></ul><p></p>""DOA"" Deconbond oxyd anthracite coating",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Spare Parts,WP - Pro Components,FALSE,Title,Default Title,,,,,00010000358,,shopify,,continue,manual,399.97,,TRUE,TRUE,9010544314687,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_wp_nmon_00010000358_inner_fork_tube_set__sall__awsg__v1.jpg?v=1680287313,1,Inner fork tube set,FALSE,Inner fork tube set,"Best possible performance The right combination of look, style, and performance High-quality look ""DOA"" Deconbond oxyd anthracite coating",Motor Vehicle Parts,,Adult,00010000358,WP - Spare Parts,WP - Pro Components,new,FALSE,,,,,,,kg,,
wp-00010000362,Front brake conversion kit,Front brake conversion kit,WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Spare Parts,WP - Pro Components,TRUE,Title,Default Title,,,,,00010000362,,shopify,,continue,manual,399.97,,TRUE,TRUE,9010544329582,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_wp_nmon_00010000362_front_brake_conversion_kit__sall__awsg__v1.jpg?v=1680287313,1,Front brake conversion kit,FALSE,Front brake conversion kit,Front brake conversion kit,Motor Vehicle Parts,,Adult,00010000362,WP - Spare Parts,WP - Pro Components,new,FALSE,,,,,,,kg,,
wp-00010000413,Adjuster kit,"<ul><li>CNC milled from high-strength aluminum</li><li>Elegant anodised surface</li><li>Robust, solid construction</li></ul><p></p>",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Special parts,WP - Technical Accessories,TRUE,Title,Default Title,,,,,00010000413,,shopify,,continue,manual,59.96,,TRUE,TRUE,9010544599954,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000413_rebound_and_compression_adjuster_kit_studio_pictures_offroad__sall__awsg__v1.jpg?v=1713549952,1,Adjuster kit,FALSE,Adjuster kit,"CNC milled from high-strength aluminum Elegant anodised surface Robust, solid construction",Motor Vehicle Parts,,Adult,00010000413,WP - Special parts,WP - Technical Accessories,new,FALSE,,,,,,,kg,,
wp-00010000415,Preload adjuster set,"<ul><li>Made of the highest quality materials</li><li>Toolless adjustment of the spring preload</li></ul><p></p><ul><li class=""li-square"">Toolless adjustment of the reservoir spring prelaod</li><li class=""li-square"">Enables the adjustment of the ""Ride Balance""</li><li class=""li-square"">More preload on the reservoir spring = more oil pressure = more hold-up</li><li class=""li-square"">No loss of comfort with more preload</li></ul><p><br />For removal of Preload adjuster tool T12141 should be used.</p>",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Preload adjuster,WP - Technical Accessories,TRUE,Title,Default Title,,,,,00010000415,,shopify,,continue,manual,299.05,,TRUE,TRUE,9010544612363,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000415_preload_adjuster_set_studio_pictures_offroad_v2__sall__awsg__v1.png?v=1736333841,1,Preload adjuster set,FALSE,Preload adjuster set,"Made of the highest quality materials Toolless adjustment of the spring preload Toolless adjustment of the reservoir spring prelaod Enables the adjustment of the ""Ride Balance"" More preload on the reservoir spring = more oil pressure = more hold-up No loss of comfort with more preload For removal of Preload adjuster t…",Motor Vehicle Parts,,Adult,00010000415,WP - Preload adjuster,WP - Technical Accessories,new,FALSE,,,,,,,kg,,
wp-00010000416,Preload adjuster set,"<ul><li>Made of the highest quality materials</li><li>CNC milled from high-strength aluminum</li><li>High-quality look</li><li>Toolless adjustment of the spring preload</li></ul><p></p><ul><li class=""li-square"">Toolless adjustment of the reservoir spring prelaod</li><li class=""li-square"">Enables the adjustment of the ""Ride Balance""</li><li class=""li-square"">More preload on the reservoir spring = more oil pressure = more hold-up</li><li class=""li-square"">No loss of comfort with more preload</li></ul><p><br />For removal of Preload adjuster tool T12141 should be used.</p>",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Preload adjuster,WP - Technical Accessories,TRUE,Title,Default Title,,,,,00010000416,,shopify,,continue,manual,399.00,,TRUE,TRUE,9010544613216,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000416_preload_adjuster_set_studio_pictures_offroad__sall__awsg__v1.png?v=1736333917,1,Preload adjuster set,FALSE,Preload adjuster set,"Made of the highest quality materials CNC milled from high-strength aluminum High-quality look Toolless adjustment of the spring preload Toolless adjustment of the reservoir spring prelaod Enables the adjustment of the ""Ride Balance"" More preload on the reservoir spring = more oil pressure = more hold-up No loss of co…",Motor Vehicle Parts,,Adult,00010000416,WP - Preload adjuster,WP - Technical Accessories,new,FALSE,,,,,,,kg,,
wp-00010000420,Piston ring set,"<ul><li class=""li-square"">The steel piston ring, which is also installed in the WP Pro components shock absorbers, improves the service life of the piston and reduces the friction.</li><li class=""li-square"">Which effects the response of the shock absorber positive.</li><li class=""li-square"">Can be easily replaced when the shock absorber is serviced.</li><li class=""li-square"">For piston diameter 50mm.</li></ul>",WP,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,WP - Special parts,WP - Technical Accessories,TRUE,Title,Default Title,,,,,00010000420,,shopify,,continue,manual,18.94,,TRUE,TRUE,9010544451122,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00010000420_piston_ring_set__sall__awsg__v1.jpg?v=1694068528,1,Piston ring set,FALSE,Piston ring set,"The steel piston ring, which is also installed in the WP Pro components shock absorbers, improves the service life of the piston and reduces the friction. Which effects the response of the shock absorber positive. Can be easily replaced when the shock absorber is serviced. For piston diameter 50mm.",Motor Vehicle Parts,,Adult,00010000420,WP - Special parts,WP - Technical Accessories,new,FALSE,,,,,,,kg,,
wp-00029016100,Combination tool,"<ul><li class=""li-square"">Recommended tool for removing the screw caps.</li><li class=""li-square"">Fits all closed cartridge forks.</li></ul>",WP,Hardware > Tools,WP - Tools,WP - Tool/transport,FALSE,Title,Default Title,,,,,00029016100,,shopify,,continue,manual,34.97,,TRUE,TRUE,9010544324372,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_wp_nmon_00029016100_combination_tool__sall__awsg__v1.jpg?v=1680287312,1,Combination tool,FALSE,Combination tool,Recommended tool for removing the screw caps. Fits all closed cartridge forks.,Tools,,Adult,00029016100,WP - Tools,WP - Tool/transport,new,FALSE,,,,,,,kg,,
wp-00029016100,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029016100_combination_tool__sall__awsg__v1.jpg?v=1680287312,2,Combination tool,,,,,,,,,,,,,,,,,,,,
wp-00029090100,Sag scale,Makes setting the sag significantly simpler. Folding version for easy stowing in the tool box.,WP,Hardware > Tools,WP - Measuring tool,WP - Special tools,FALSE,Title,Default Title,,,,,00029090100,,shopify,,continue,manual,55.05,,TRUE,TRUE,9010152019394,https://cdn.shopify.com/s/files/1/0511/7820/9461/files/pho_nmon_00029090500_00029090100_sag_gauge_new__sall__awsg__v1.jpg?v=1650461478,1,Sag scale,FALSE,Sag scale,Makes setting the sag significantly simpler. Folding version for easy stowing in the tool box.,Tools,,Adult,00029090100,WP - Measuring tool,WP - Special tools,new,FALSE,,,,,,,kg,,
