Handle,Reden,SKU
wp-00010000358,status 80,00010000358
wp-00029016100,status 80,00029016100
wp-00029090100,status 80,00029090100
wp-00029920000c1,status 80,00029920000C1
wp-00029920100c1,geen prijs,00029920100C1
wp-00062010051,status 80,00062010051
wp-0025080456,geen prijs,0025080456
wp-03180m01set,geen prijs,03180M01SET
wp-03180n02set,geen prijs,03180N02SET
wp-05060l01set,geen prijs,05060L01SET
wp-05140l01set,geen prijs,05140L01SET
wp-05140l02set,geen prijs,05140L02SET
wp-05170l01set,geen prijs,05170L01SET
wp-05170l02set,geen prijs,05170L02SET
wp-05180l01set,status 80,05180L01SET
wp-05182n02set,geen prijs,05182N02SET
wp-05182o03set,type uitgesloten (Archiv); status 80,05182O03SET
wp-05182r10set,status 80,05182R10SET
wp-05230l01set,geen prijs,05230L01SET
wp-05230l02set,geen prijs,05230L02SET
wp-05270l01set,geen prijs,05270L01SET
wp-05992p01set,type uitgesloten (Archiv); geen verkoopbare variant in productgroep (prijs/type/status),05992P01SET
wp-05992p02set,geen prijs,05992P02SET
wp-05992p03set,geen prijs,05992P03SET
wp-05992p04set,geen prijs,05992P04SET
wp-06992m01,type uitgesloten (Archiv); geen prijs,06992M01
wp-06992m02,geen prijs,06992M02
wp-07182n02set,status 80,07182N02SET
wp-0791l101u400220,status 80,0791L101U400220
wp-0900001601200,geen afbeeldingen (geen bestand onder input/ of geen geldige CDN-URL na upload),0900001601200
wp-10150u07set,status 80,10150U07SET
wp-10180t07set,status 80,10180T07SET
wp-10180t67set,status 80,10180T67SET
wp-1050adv2015,type uitgesloten (Bikes); geen prijs,F9903OC
wp-1050adv2015,type uitgesloten (Bikes); geen prijs,F9923OC
wp-1050adv2015,type uitgesloten (Bikes); geen prijs,F9960OC
wp-1050adv2016,type uitgesloten (Bikes); geen prijs,F9903PC
wp-1050adv2016,type uitgesloten (Bikes); geen prijs,F9960PC
wp-1050adv2016,type uitgesloten (Bikes); geen prijs,F9989PC
wp-1050adv2016,type uitgesloten (Bikes); geen prijs,F9989PCC
wp-1090adventure2017,type uitgesloten (Bikes); geen prijs,F9903QB
wp-1090adventure2017,type uitgesloten (Bikes); geen prijs,F9903QC
wp-1090adventure2017,type uitgesloten (Bikes); geen prijs,F9960QC
wp-1090adventure2017,type uitgesloten (Bikes); geen prijs,F9975QC
wp-1090adventure2017,type uitgesloten (Bikes); geen prijs,F9989QC
wp-1090adventurer2017,type uitgesloten (Bikes); geen prijs,F9903QD
wp-1090adventurer2017,type uitgesloten (Bikes); geen prijs,F9923QD
wp-1090adventurer2017,type uitgesloten (Bikes); geen prijs,F9960QD
wp-1090adventurer2017,type uitgesloten (Bikes); geen prijs,F9975QD
