Product Ids,Make,Model,Year
,KTM,390 Duke,2025
,KTM,250 Duke,2025
,KTM,200 Duke,2025
,KTM,125 EXC Six Days,2012
,KTM,125 EXC,2012
,KTM,200 EXC,2012
,KTM,250 EXC Six Days,2012
,KTM,250 EXC,2012
,KTM,300 EXC Six Days,2012
,KTM,300 EXC,2012
,KTM,300 EXC Six Days,2023
,KTM,125 RC 2,2012
,KTM,250 EXC-F Six Days,2012
,KTM,250 EXC-F,2012
,KTM,350 EXC-F Six Days,2012
,KTM,350 EXC-F,2012
,KTM,350 EXC-F Six Days,2023
,KTM,450 EXC Six Days,2012
,KTM,450 EXC,2012
,KTM,500 EXC Six Days,2012
,KTM,500 EXC,2012
,KTM,690 Enduro R,2012
,KTM,690 SMC R,2012
,KTM,1190 RC8,2010
,KTM,1190 RC8 R,2010
,KTM,1190 RC8,2011
,KTM,1190 RC8 R,2011
,KTM,1190 RC8 R Track,2011
,KTM,1190 RC8 R,2012
,KTM,1190 RC8 R Track,2012
,KTM,Freeride E-XC,2019
,KTM,Freeride E-XC,2020
,KTM,SX-E 5,2020
,KTM,SX-E 5,2021
,KTM,Freeride E-XC,2022
,KTM,SX-E 5,2023
,KTM,SX-E 3,2023
,KTM,FREERIDE E 660W,2027
,KTM,125 Duke,2026
,KTM,125 Duke,2017
,KTM,125 Duke,2018
,KTM,125 Duke,2019
,KTM,125 Duke,2023
,KTM,125 Duke,2025
,KTM,200 Duke,2026
,KTM,200 Duke,2018
,KTM,200 Duke,2019
,KTM,200 Duke,2021
,KTM,200 Duke,2021
,KTM,200 Duke,2023
,KTM,200 Duke,2023
,KTM,250 Duke,2026
,KTM,250 Duke,2018
,KTM,250 Duke,2019
,KTM,250 Duke,2021
,KTM,250 Duke,2021
,KTM,250 Duke,2023
,KTM,390 Duke,2026
,KTM,390 DUKE,2017
,KTM,390 Duke,2018
,KTM,390 Duke,2019
,KTM,390 Duke,2021
,KTM,390 Duke,2022
,KTM,390 Duke,2023
,KTM,125 Enduro R,2026
,KTM,125 SMC R,2026
,KTM,250 Adventure,2021
,KTM,250 Adventure,2022
,KTM,390 Enduro R,2026
,KTM,390 SMC R,2026
,KTM,390 Adventure R,2026
,KTM,390 Adventure X,2026
,KTM,390 Adventure,2020
,KTM,390 Adventure,2021
,KTM,390 Adventure,2022
,KTM,390 Adventure 低座版,2021
,KTM,50 SX,2027
,KTM,65 SX,2027
,KTM,85 SX 17/14,2027
,KTM,85 SX 19/16,2027
,KTM,50 SX,2013
,KTM,85 SX 17/14,2013
,KTM,85 SX 19/16,2013
,KTM,50 SX,2014
,KTM,85 SX 17/14,2014
,KTM,85 SX 19/16,2014
,KTM,50 SX,2015
,KTM,50 SX Mini,2015
,KTM,65 SX,2015
,KTM,85 SX 17/14,2015
,KTM,85 SX 19/16,2015
,KTM,50 SX,2016
,KTM,50 SX Mini,2016
,KTM,65 SX,2016
,KTM,85 SX 17/14,2016
,KTM,85 SX 19/16,2016
,KTM,50 SX,2017
,KTM,50 SX MINI,2017
,KTM,65 SX,2017
,KTM,85 SX 17/14,2017
,KTM,85 SX 19/16,2017
,KTM,50 SX,2018
,KTM,65 SX,2018
,KTM,85 SX 17/14,2018
,KTM,85 SX 19/16,2018
,KTM,50 SX,2019
,KTM,50 SX Mini,2019
,KTM,65 SX,2019
,KTM,85 SX 17/14,2019
,KTM,85 SX 19/16,2019
,KTM,50 SX,2020
,KTM,50 SX Mini,2020
,KTM,65 SX,2020
,KTM,85 SX 17/14,2020
,KTM,85 SX 19/16,2020
,KTM,50 SX,2021
,KTM,65 SX,2021
,KTM,85 SX 17/14,2021
,KTM,85 SX 19/16,2021
,KTM,50 SX,2023
,KTM,50 SX Mini,2023
,KTM,65 SX,2023
,KTM,85 SX 17/14,2023
,KTM,85 SX 19/16,2023
,KTM,50 SXS,2013
,KTM,85 SXS 17/14,2013
,KTM,50 SXS,2014
,KTM,85 SXS 17/14,2014
,KTM,50 SXS,2015
,KTM,65 SXS,2015
,KTM,85 SXS 17/14,2015
,KTM,85 SXS 19/16,2015
,KTM,50 SXS,2016
,KTM,50 SXS Mini,2016
,KTM,125 SX,2027
,KTM,125 SX,2015
,KTM,150 SX,2015
,KTM,125 SX,2016
,KTM,150 SX,2016
,KTM,125 SX,2017
,KTM,150 SX,2017
,KTM,125 SX,2018
,KTM,150 SX,2018
,KTM,125 SX,2019
,KTM,150 SX,2019
,KTM,125 SX,2020
,KTM,150 SX,2020
,KTM,125 SX,2021
,KTM,150 SX,2021
,KTM,125 SX,2023
,KTM,125 XC,2027
,KTM,150 XC,2015
,KTM,125 XC,2021
,KTM,125 XC,2023
,KTM,250 SX,2027
,KTM,250 SX,2013
,KTM,250 SX,2015
,KTM,250 SX,2016
,KTM,250 SX,2017
,KTM,250 XC,2017
,KTM,250 SX,2018
,KTM,250 SX,2019
,KTM,250 SX,2020
,KTM,250 SX,2021
,KTM,250 SX,2023
,KTM,250 XC,2027
,KTM,250 XC,2015
,KTM,250 XC,2016
,KTM,250 XC,2018
,KTM,250 XC,2019
,KTM,250 XC TPI,2020
,KTM,250 XC TPI,2021
,KTM,250 XC,2023
,KTM,300 SX,2027
,KTM,300 XC,2017
,KTM,300 SX,2023
,KTM,300 XC,2027
,KTM,300 XC,2015
,KTM,300 XC,2016
,KTM,300 XC,2018
,KTM,300 XC,2019
,KTM,300 XC TPI,2020
,KTM,300 XC TPI,2021
,KTM,300 XC,2023
,KTM,150 XC-W,2017
,KTM,125 EXC Six Days,2015
,KTM,125 EXC,2015
,KTM,125 EXC Factory Edition,2015
,KTM,125 EXC Six Days,2016
,KTM,125 EXC,2016
,KTM,125 EXC Six Days,2017
,KTM,125 XC-W,2017
,KTM,125 EXC,2017
,KTM,125 XC-W,2018
,KTM,125 XC-W,2019
,KTM,150 EXC TPI,2020
,KTM,150 EXC TPI,2021
,KTM,150 EXC,2023
,KTM,150 XC-W,2018
,KTM,250 XC-W,2018
,KTM,150 XC-W,2019
,KTM,150 XC-W TPI,2020
,KTM,150 XC-W TPI,2021
,KTM,150 XC-W,2023
,KTM,200 EXC,2015
,KTM,200 EXC,2016
,KTM,200 XC-W,2015
,KTM,200 XC-W,2016
,KTM,250 XC-W,2017
,KTM,Freeride 250 R,2014
,KTM,250 EXC Six Days,2015
,KTM,Freeride 250 R,2015
,KTM,250 EXC,2015
,KTM,250 EXC Factory Edition,2015
,KTM,250 EXC Six Days,2016
,KTM,Freeride 250 R,2016
,KTM,250 EXC,2016
,KTM,250 EXC Six Days,2017
,KTM,Freeride 250 R,2017
,KTM,250 EXC,2017
,KTM,250 EXC TPI,2018
,KTM,250 EXC Six Days TPI,2019
,KTM,250 EXC TPI,2019
,KTM,250 EXC Six Days TPI,2020
,KTM,250 EXC TPI,2020
,KTM,250 EXC TPI Six Days,2021
,KTM,250 EXC TPI,2021
,KTM,250 EXC Six Days,2023
,KTM,250 EXC,2023
,KTM,250 XC-W,2015
,KTM,250 XC-W,2016
,KTM,250 XC-W TPI,2018
,KTM,250 XC-W,2019
,KTM,250 XC-W TPI,2019
,KTM,250 XC-W TPI,2020
,KTM,250 XC-W TPI,2021
,KTM,250 XC-W,2023
,KTM,300 XC-W Six Days,2017
,KTM,300 XC-W,2017
,KTM,300 EXC Six Days,2015
,KTM,300 EXC,2015
,KTM,300 EXC Factory Edition,2015
,KTM,300 EXC Six Days,2016
,KTM,300 EXC,2016
,KTM,300 EXC Six Days,2017
,KTM,300 EXC,2017
,KTM,300 EXC TPI SIX DAYS,2018
,KTM,300 EXC TPI,2018
,KTM,300 EXC Six Days TPI,2019
,KTM,300 EXC TPI,2019
,KTM,300 EXC Six Days TPI,2020
,KTM,300 EXC TPI Erzberg Edition,2020
,KTM,300 EXC TPI,2020
,KTM,300 EXC TPI Six Days,2021
,KTM,300 EXC TPI Erzbergrodeo,2021
,KTM,300 EXC TPI,2021
,KTM,300 EXC Erzbergrodeo,2023
,KTM,300 EXC,2023
,KTM,300 EXC Six Days,2019
,KTM,300 EXC,2019
,KTM,300 EXC,2020
,KTM,300 EXC,2021
,KTM,300 XC-W Six Days,2015
,KTM,300 XC-W,2015
,KTM,300 XC-W Six Days,2016
,KTM,300 XC-W,2016
,KTM,300 XC-W SIX DAYS,2018
,KTM,300 XC-W,2018
,KTM,300 XC-W TPI Six Days,2019
,KTM,300 XC-W TPI,2019
,KTM,300 XC-W Six Days TPI,2020
,KTM,300 XC-W TPI,2020
,KTM,300 XC-W TPI,2021
,KTM,300 XC-W,2023
,KTM,300 XC-W Erzbergrodeo,2023
,KTM,250 SX-F,2027
,KTM,250 SX-F,2015
,KTM,250 SX-F,2016
,KTM,250 XC-F,2017
,KTM,250 SX-F,2017
,KTM,250 SX-F,2018
,KTM,250 SX-F,2019
,KTM,250 SX-F,2020
,KTM,250 SX-F,2021
,KTM,250 SX-F,2023
,KTM,250 EXC-F Six Days,2015
,KTM,250 EXC-F Factory Edition,2015
,KTM,250 EXC-F,2015
,KTM,250 EXC-F Six Days,2016
,KTM,250 EXC-F,2016
,KTM,250 EXC-F Six Days,2017
,KTM,250 EXC-F,2017
,KTM,250 EXC-F SIX DAYS,2018
,KTM,250 EXC-F,2018
,KTM,250 EXC-F Six Days,2019
,KTM,Freeride 250 F,2019
,KTM,250 EXC-F,2019
,KTM,250 EXC-F Six Days,2020
,KTM,Freeride 250 F,2020
,KTM,250 EXC-F,2020
,KTM,250 EXC-F Six Days,2021
,KTM,250 EXC-F,2021
,KTM,250 EXC-F Six Days,2023
,KTM,250 EXC-F,2023
,KTM,250 XC-F,2027
,KTM,250 XC-F,2015
,KTM,250 SX-F Factory Edition,2015
,KTM,250 XCF-W,2015
,KTM,250 XC-F,2016
,KTM,250 SX-F Factory Edition,2016
,KTM,250 XCF-W,2016
,KTM,250 SX-F Factory Edition,2017
,KTM,250 XC-F,2018
,KTM,250 XC-F,2019
,KTM,250 XC-F,2020
,KTM,250 XC-F,2021
,KTM,250 XC-F,2022
,KTM,250 XC-F,2023
,KTM,350 SX-F,2027
,KTM,350 SX-F,2015
,KTM,350 SX-F,2016
,KTM,350 XC-F,2017
,KTM,350 SX-F,2017
,KTM,350 SX-F,2018
,KTM,350 SX-F,2019
,KTM,350 SX-F,2020
,KTM,350 SX-F,2021
,KTM,350 SX-F,2023
,KTM,Freeride 350,2014
,KTM,350 EXC-F Six Days,2015
,KTM,Freeride 350,2015
,KTM,350 EXC-F Factory Edition,2015
,KTM,350 EXC-F,2015
,KTM,350 EXC-F Six Days,2016
,KTM,Freeride 350,2016
,KTM,350 EXC-F,2016
,KTM,350 EXC-F Six Days,2017
,KTM,Freeride 350,2017
,KTM,350 EXC-F,2017
,KTM,350 EXC-F SIX DAYS,2018
,KTM,350 EXC-F,2018
,KTM,350 EXC-F Six Days,2019
,KTM,350 EXC-F,2019
,KTM,350 EXC-F Six Days,2020
,KTM,350 EXC-F,2020
,KTM,350 EXC-F Six Days,2021
,KTM,350 EXC-F Wess,2021
,KTM,350 EXC-F,2021
,KTM,350 EXC-F,2023
,KTM,350 XC-F,2027
,KTM,350 XC-F,2015
,KTM,350 XCF-W Six Days,2015
,KTM,350 XCF-W,2015
,KTM,350 XC-F,2016
,KTM,350 XCF-W Six Days,2016
,KTM,350 XCF-W,2016
,KTM,350 XC-F,2018
,KTM,350 XC-F,2019
,KTM,350 XC-F,2020
,KTM,350 XCF-W,2020
,KTM,350 XC-F,2021
,KTM,350 XCF-W,2021
,KTM,350 XC-F,2023
,KTM,450 SX-F,2027
,KTM,450 SX-F,2015
,KTM,450 SX-F,2016
,KTM,450 XC-F,2017
,KTM,450 SX-F,2017
,KTM,450 SX-F,2018
,KTM,450 SX-F,2019
,KTM,450 SX-F,2020
,KTM,450 SX-F,2021
,KTM,450 SX-F,2023
,KTM,450 EXC Six Days,2015
,KTM,450 EXC F-Factory Edition,2015
,KTM,450 EXC,2015
,KTM,450 EXC Six Days,2016
,KTM,450 EXC,2016
,KTM,450 EXC-F Six Days,2017
,KTM,450 EXC-F,2017
,KTM,450 EXC-F SIX DAYS,2018
,KTM,450 EXC-F,2018
,KTM,450 EXC-F Six Days,2019
,KTM,450 EXC-F,2019
,KTM,450 EXC-F Six Days,2020
,KTM,450 EXC-F,2020
,KTM,450 EXC-F Six Days,2021
,KTM,450 EXC-F,2021
,KTM,450 EXC-F Six Days,2023
,KTM,450 EXC-F,2023
,KTM,450 XC-F,2027
,KTM,450 XC-F,2015
,KTM,450 SX-F Factory Edition,2015
,KTM,450 XC-W,2015
,KTM,450 XC-F,2016
,KTM,450 SX-F Factory-Edition,2016
,KTM,450 XC-W,2016
,KTM,450 SX-F Factory Edition,2017
,KTM,450 XC-F,2018
,KTM,450 SX-F Factory Edition,2018
,KTM,450 XC-F,2019
,KTM,450 SX-F FACTORY EDITION,2019
,KTM,450 XC-F,2020
,KTM,450 SX-F Factory Edition,2020
,KTM,450 XC-F,2021
,KTM,450 XC-F,2023
,KTM,450 XCF-W,2023
,KTM,500 EXC Six Days,2015
,KTM,500 EXC,2015
,KTM,500 EXC Six Days,2016
,KTM,500 EXC,2016
,KTM,500 EXC-F Six Days,2017
,KTM,500 EXC-F,2017
,KTM,500 EXC-F SIX DAYS,2018
,KTM,500 EXC-F,2018
,KTM,500 EXC-F Six Days,2019
,KTM,500 EXC-F,2019
,KTM,500 EXC-F Six Days,2020
,KTM,500 EXC-F,2020
,KTM,500 EXC-F Six Days,2021
,KTM,500 EXC-F,2021
,KTM,500 EXC-F Six Days,2023
,KTM,500 EXC-F,2023
,KTM,500 XC-W,2015
,KTM,500 XC-W,2016
,KTM,500 XCF-W,2020
,KTM,500 XCF-W,2021
,KTM,450 Rally Replica,2027
,KTM,790 DUKE,2018
,KTM,790 Duke L (A2),2018
,KTM,790 Adventure,2019
,KTM,790 Adventure R,2019
,KTM,790 Duke,2019
,KTM,790 Duke L (A2),2019
,KTM,790 Adventure R,2020
,KTM,790 Adventure R Rally,2020
,KTM,790 Duke,2020
,KTM,790 Adventure,2021
,KTM,790 Adventure,2023
,KTM,790 Adventure,2026
,KTM,790 Duke,2026
,KTM,790 Adventure R,2021
,KTM,690 Duke R,2013
,KTM,690 Enduro R,2013
,KTM,690 SMC R,2013
,KTM,690 Duke R,2014
,KTM,690 Enduro R,2014
,KTM,690 SMC R,2014
,KTM,690 Duke R,2015
,KTM,690 Enduro R,2015
,KTM,690 SMC R,2015
,KTM,690 Duke R,2016
,KTM,690 Enduro R,2016
,KTM,690 Enduro R,2019
,KTM,690 SMC R,2019
,KTM,890 Duke R,2020
,KTM,690 Enduro R,2020
,KTM,890 Duke,2021
,KTM,890 Duke R,2021
,KTM,890 Adventure,2021
,KTM,890 Adventure R,2021
,KTM,890 Adventure R Rally,2021
,KTM,890 Adventure,2022
,KTM,890 Adventure R,2022
,KTM,890 Adventure L,2022
,KTM,890 Duke R,2023
,KTM,890 Adventure,2023
,KTM,890 Adventure R,2023
,KTM,690 Enduro R,2023
,KTM,690 SMC R,2023
,KTM,890 Duke GP,2023
,KTM,890 Adventure,2024
,KTM,890 Adventure R,2024
,KTM,690 Enduro R,2025
,KTM,890 Adventure R,2026
,KTM,890 Adventure R Rally,2026
,KTM,890 SMT,2026
,KTM,890 Adventure R Rally,2027
,KTM,990 RC R Track,2027
,KTM,990 RC R Track,2026
,KTM,990 Duke,2026
,KTM,990 Duke R,2026
,KTM,990 Duke,2027
,KTM,990 Adventure,2013
,KTM,1390 Super Duke RR TRACK,2026
,KTM,1190 RC8 R,2013
,KTM,1190 RC8 R,2014
,KTM,1290 Super Duke R,2014
,KTM,1190 RC8 R,2015
,KTM,1290 Super Duke R,2015
,KTM,1050 Adventure,2015
,KTM,1190 RC8 R,2016
,KTM,1290 Super Duke R,2016
,KTM,1050 Adventure,2016
,KTM,1290 Super Duke R,2017
,KTM,1290 Super Adventure S,2017
,KTM,1290 Super Adventure R,2017
,KTM,1290 Super Adventure T,2017
,KTM,1090 Adventure,2017
,KTM,1090 Adventure R,2017
,KTM,1290 Super Duke GT,2017
,KTM,1290 SUPER DUKE R,2018
,KTM,1290 Super Duke R,2019
,KTM,1290 Super Duke R,2020
,KTM,1290 Super Duke R,2021
,KTM,1290 Super Adventure S,2021
,KTM,1290 Super Adventure R,2021
,KTM,1290 Super Duke GT,2021
,KTM,1290 Super Duke RR,2021
,KTM,1290 Super Adventure S,2022
,KTM,1290 Super Adventure R,2022
,KTM,1290 Super Duke R,2023
,KTM,1290 Super Duke GT,2023
,KTM,1290 Super Duke R EVO,2023
,KTM,1390 Super Duke R,2024
,KTM,1390 Super Duke R,2025
,KTM,1390 Super Duke R,2026
,KTM,1390 Super Duke RR,2026
,KTM,1390 Super Adventure S EVO,2027
,KTM,1290 Super Adventure S,2023
,KTM,1290 Super Adventure R,2023
